TIME,RX,RY,X
0,0,0,0
0.014,0,0,0
0.029,0,0,0
0.043,0,0,0
0.057,0,0,0
0.072,0,0,0
0.086,0,0,0
0.1,0,0,0
0.114,0,0,0
0.129,0,0,0
0.143,0,0,0
0.157,0,0,0
0.172,0,0,0
0.186,0,0,0
0.2,0,0,0
0.215,0,0,0
0.229,0,0,0
0.243,0,0,0
0.257,0,0,0
0.272,0,0,0
0.286,0,0,0
0.3,0,0,0
0.315,0,0,0
0.329,0,0,0
0.343,0,0,0
0.357,0,0,0
0.372,0,0,0
0.386,37.3,87.1,1.227
0.4,-4.2,192.6,1.244
0.415,-43.7,304.1,1.261
0.429,-74,404.2,1.291
0.443,-91.9,476.6,1.29
0.458,-102.7,521.7,1.301
0.472,-110.5,552.9,1.304
0.486,-114.2,579.8,1.311
0.5,-110.5,599.6,1.317
0.515,-98.1,604.5,1.316
0.529,-79.8,589.9,1.321
0.543,-62,558.1,1.322
0.558,-48.7,516.7,1.325
0.572,-39.8,473.4,1.333
0.586,-33,433.4,1.335
0.601,-27,400.3,1.345
0.615,-21.8,377.1,1.358
0.629,-18.1,365,1.369
0.643,-16.6,362.3,1.377
0.658,-16.8,366.5,1.384
0.672,-16.8,375,1.39
0.686,-14.5,386.1,1.396
0.701,-9.6,400.3,1.406
0.715,-3.8,418.8,1.417
0.729,2.2,441,1.412
0.744,8.7,465.8,1.424
0.758,16.5,493.7,1.428
0.772,26.8,523.9,1.432
0.786,40.1,552.6,1.436
0.801,54.8,576.8,1.44
0.815,68.1,595.8,1.444
0.829,79.6,608.6,1.447
0.844,90.8,612.1,1.451
0.858,101.5,602.3,1.455
0.872,110.4,576.1,1.459
0.887,115.6,530.3,1.463
0.901,114.5,463,1.467
0.915,105.2,377.3,1.47
0.929,88.2,282.1,1.474
0.944,65.7,190.1,1.478
0.958,41.4,110.8,1.482
0.972,18.4,44.4,1.486
0.987,0,0,0
1.001,0,0,0
1.015,0,0,0
1.03,0,0,0
1.044,0,0,0
1.058,0,0,0
1.072,0,0,0
1.087,0,0,0
1.101,0,0,0
1.115,0,0,0
1.13,0,0,0
1.144,0,0,0
1.158,0,0,0
1.173,0,0,0
1.187,0,0,0
1.201,0,0,0
1.215,0,0,0
1.23,0,0,0
1.244,0,0,0
1.258,0,0,0
1.273,0,0,0
1.287,0,0,0
1.301,0,0,0
1.316,0,0,0
1.33,0,0,0
1.344,0,0,0
1.358,0,0,0
1.373,0,0,0
1.387,0,0,0
1.401,0,0,0
1.416,0,0,0
1.43,0,0,0
1.444,0,0,0
1.459,0,0,0
1.473,0,0,0
1.487,0,0,0
1.501,0,0,0
